Category,Title,Url
mas-contenido/alianzas-la-clave-de-claro-para-promover-la-inclusion-laboral-y-social-634586,"Alianzas, la clave de Claro para promover la inclusión laboral y social",https://www.eltiempo.com/mas-contenido/alianzas-la-clave-de-claro-para-promover-la-inclusion-laboral-y-social-634586
cultura/gente,‘Echar un polvo’: ¿por qué solemos referirnos al sexo con esa expresión?,https://www.eltiempo.com/cultura/gente/por-que-decimos-echar-un-polvo-cuando-tenemos-relaciones-sexuales-634823
deportes/futbol-colombiano,"Atlético Nacional, ¡campeón de la Copa Colombia!",https://www.eltiempo.com/deportes/futbol-colombiano/atletico-nacional-es-campeon-de-la-copa-betplay-2021-634689
podcast/el-primer-cafe,Tercera dosis de la vacuna: lo que hay que saber para seguir el esquema,https://www.eltiempo.com/podcast/el-primer-cafe/tercera-dosis-de-vacuna-para-mayores-de-18-anos-lo-que-hay-que-saber-634699
vida/viajar,Turkish Airlines vuela ahora todos los días entre Bogotá y Estambul,https://www.eltiempo.com/vida/viajar/turkish-airlines-habilito-un-vuelo-diario-entre-bogota-y-estambul-634652
vida/medio-ambiente,Así renace el caimán aguja en la bahía de Cispatá (Córdoba),https://www.eltiempo.com/vida/medio-ambiente/el-caiman-aguja-renace-en-la-bahia-de-cispata-634657
cultura/musica-y-libros,"Tras vender 35 millones de libros de 'Eragon', Paolini vuelve a librerías",https://www.eltiempo.com/cultura/musica-y-libros/christopher-paolini-eragon-habla-de-dormir-en-un-mar-de-estrellas-634582
tecnosfera/novedades-tecnologia,"Con entrada al país, Amazon Music busca apoyar a artistas locales",https://www.eltiempo.com/tecnosfera/novedades-tecnologia/amazon-music-en-colombia-entrevista-con-federico-pedersen-634669
politica/proceso-de-paz,Comisionado de Paz desmiente que haya acercamientos con el Eln,https://www.eltiempo.com/politica/proceso-de-paz/juan-manuel-santos-gobierno-desmiente-que-haya-acercamientos-con-el-eln-634535
economia/sectores,"A cuatros años de la huelga, Avianca abre opción de volver a 100 pilotos",https://www.eltiempo.com/economia/sectores/esta-es-la-oferta-de-avianca-a-pilotos-que-se-fueron-tras-la-huelga-de-2017-634867
colombia/medellin,Proyecto de presupuesto de Medellín para 2022 se hundió en el Concejo,https://www.eltiempo.com/colombia/medellin/medellin-proyecto-de-presupuesto-para-2022-se-hundio-en-el-concejo-634471
mundo/eeuu-y-canada,EE. UU. incluirá a dos disidencias de Farc en la lista de terroristas,https://www.eltiempo.com/mundo/eeuu-y-canada/detalles-de-la-salida-de-las-farc-de-lista-de-terroristas-de-ee-uu-634550
politica/proceso-de-paz,Comisionado de Paz desmiente que haya acercamientos con el Eln,https://www.eltiempo.com/politica/proceso-de-paz/juan-manuel-santos-gobierno-desmiente-que-haya-acercamientos-con-el-eln-634535
economia/sectores,"A cuatros años de la huelga, Avianca abre opción de volver a 100 pilotos",https://www.eltiempo.com/economia/sectores/esta-es-la-oferta-de-avianca-a-pilotos-que-se-fueron-tras-la-huelga-de-2017-634867
colombia/medellin,Proyecto de presupuesto de Medellín para 2022 se hundió en el Concejo,https://www.eltiempo.com/colombia/medellin/medellin-proyecto-de-presupuesto-para-2022-se-hundio-en-el-concejo-634471
mundo/eeuu-y-canada,EE. UU. incluirá a dos disidencias de Farc en la lista de terroristas,https://www.eltiempo.com/mundo/eeuu-y-canada/detalles-de-la-salida-de-las-farc-de-lista-de-terroristas-de-ee-uu-634550
